Tipo,N_M1,M_M1,N_M2,M_M2,P,Repeticao,Tempo_ms
Sequencial,100,100,100,100,1250,1,9.0
Threads,100,100,100,100,1250,1,1.0
Processos,100,100,100,100,1250,1,10.0
Sequencial,100,100,100,100,1250,2,12.0
Threads,100,100,100,100,1250,2,1.0
Processos,100,100,100,100,1250,2,9.0
Sequencial,100,100,100,100,1250,3,10.0
Threads,100,100,100,100,1250,3,2.0
Processos,100,100,100,100,1250,3,10.0
Sequencial,100,100,100,100,1250,4,11.0
Threads,100,100,100,100,1250,4,2.0
Processos,100,100,100,100,1250,4,9.0
Sequencial,100,100,100,100,1250,5,11.0
Threads,100,100,100,100,1250,5,2.0
Processos,100,100,100,100,1250,5,13.0
Sequencial,100,100,100,100,1250,6,12.0
Threads,100,100,100,100,1250,6,1.0
Processos,100,100,100,100,1250,6,9.0
Sequencial,100,100,100,100,1250,7,11.0
Threads,100,100,100,100,1250,7,3.0
Processos,100,100,100,100,1250,7,10.0
Sequencial,100,100,100,100,1250,8,10.0
Threads,100,100,100,100,1250,8,1.0
Processos,100,100,100,100,1250,8,9.0
Sequencial,100,100,100,100,1250,9,11.0
Threads,100,100,100,100,1250,9,1.0
Processos,100,100,100,100,1250,9,10.0
Sequencial,100,100,100,100,1250,10,11.0
Threads,100,100,100,100,1250,10,2.0
Processos,100,100,100,100,1250,10,9.0
Sequencial,200,200,200,200,5000,1,66.0
Threads,200,200,200,200,5000,1,11.0
Processos,200,200,200,200,5000,1,40.0
Sequencial,200,200,200,200,5000,2,64.0
Threads,200,200,200,200,5000,2,11.0
Processos,200,200,200,200,5000,2,43.0
Sequencial,200,200,200,200,5000,3,64.0
Threads,200,200,200,200,5000,3,11.0
Processos,200,200,200,200,5000,3,43.0
Sequencial,200,200,200,200,5000,4,65.0
Threads,200,200,200,200,5000,4,11.0
Processos,200,200,200,200,5000,4,43.0
Sequencial,200,200,200,200,5000,5,65.0
Threads,200,200,200,200,5000,5,11.0
